Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	99.76	1256/1479	84.92224475997295	224..1479	contig00015 len=32676 cov=38.4 corr=0 origname=NODE_15_length_32676_cov_38.446156_pilon sw=shovill-spades/1.0.4 date=20260119	31421..32676	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	tet(M)	99.79	1920/1920	100.0	1..1920	contig00003 len=238058 cov=40.2 corr=0 origname=NODE_3_length_238058_cov_40.182105_pilon sw=shovill-spades/1.0.4 date=20260119	13129..15048	Doxycycline, Tetracycline, Minocycline	FR671418
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	518180..519643	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	516843..518060	Erythromycin, Azithromycin	U83667
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	313559..314296	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	313559..314296	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	310533..312452	Doxycycline, Tetracycline, Minocycline	FR671418
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetA(46)	91.88	1725/1725	100.0	1..1725	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	245766..247490	Doxycycline, Tetracycline, Tigecycline	HQ652506
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	tetB(46)	90.56	1738/1737	99.94242947610823	1..1737	contig00001 len=1148066 cov=32.7 corr=0 origname=NODE_1_length_1148066_cov_32.706879_pilon sw=shovill-spades/1.0.4 date=20260119	247492..249228	Doxycycline, Tetracycline, Tigecycline	HQ652506
100Cs-CMPN001x20_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=869642 cov=31.8 corr=0 origname=NODE_1_length_869642_cov_31.800369_pilon sw=shovill-spades/1.0.4 date=20260119	591865..592602	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
100Cs-CMPN001x20_260114_LH00793_B23GCKKLT3	tet(M)	99.79	1920/1920	100.0	1..1920	contig00001 len=869642 cov=31.8 corr=0 origname=NODE_1_length_869642_cov_31.800369_pilon sw=shovill-spades/1.0.4 date=20260119	602517..604436	Doxycycline, Tetracycline, Minocycline	FR671418
103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	lsa(C)	99.80	1479/1479	100.0	1..1479	contig00009 len=97180 cov=33.9 corr=0 origname=NODE_9_length_97180_cov_33.907702_pilon sw=shovill-spades/1.0.4 date=20260119	39406..40884	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00005 len=111292 cov=21.6 corr=0 origname=NODE_5_length_111292_cov_21.612336_pilon sw=shovill-spades/1.0.4 date=20260119	76627..78090	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00005 len=111292 cov=21.6 corr=0 origname=NODE_5_length_111292_cov_21.612336_pilon sw=shovill-spades/1.0.4 date=20260119	78210..79427	Erythromycin, Azithromycin	U83667
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetA(46)	94.72	1725/1725	100.0	1..1725	contig00001 len=220346 cov=30.6 corr=0 origname=NODE_1_length_220346_cov_30.566856_pilon sw=shovill-spades/1.0.4 date=20260119	40376..42100	Doxycycline, Tetracycline, Tigecycline	HQ652506
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tetB(46)	92.70	1712/1737	98.33045480713875	1..1710	contig00001 len=220346 cov=30.6 corr=0 origname=NODE_1_length_220346_cov_30.566856_pilon sw=shovill-spades/1.0.4 date=20260119	42102..43811	Doxycycline, Tetracycline, Tigecycline	HQ652506
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	tet(O)	99.79	1920/1920	100.0	1..1920	contig00006 len=108826 cov=26.9 corr=0 origname=NODE_6_length_108826_cov_26.868583_pilon sw=shovill-spades/1.0.4 date=20260119	81819..83738	Doxycycline, Tetracycline, Minocycline	M18896
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00006 len=122484 cov=20.0 corr=0 origname=NODE_6_length_122484_cov_20.047442_pilon sw=shovill-spades/1.0.4 date=20260119	13588..14325	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00006 len=122484 cov=20.0 corr=0 origname=NODE_6_length_122484_cov_20.047442_pilon sw=shovill-spades/1.0.4 date=20260119	13588..14325	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	tet(M)	100.00	1920/1920	100.0	1..1920	contig00006 len=122484 cov=20.0 corr=0 origname=NODE_6_length_122484_cov_20.047442_pilon sw=shovill-spades/1.0.4 date=20260119	10562..12481	Doxycycline, Tetracycline, Minocycline	X04388
105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00003 len=233925 cov=29.1 corr=0 origname=NODE_3_length_233925_cov_29.073838_pilon sw=shovill-spades/1.0.4 date=20260119	147756..148493	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	tet(M)	99.48	1920/1920	100.0	1..1920	contig00003 len=233925 cov=29.1 corr=0 origname=NODE_3_length_233925_cov_29.073838_pilon sw=shovill-spades/1.0.4 date=20260119	135919..137838	Doxycycline, Tetracycline, Minocycline	X90939
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=1047066 cov=31.8 corr=0 origname=NODE_1_length_1047066_cov_31.768397_pilon sw=shovill-spades/1.0.4 date=20260119	115872..116609	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	tet(M)	99.84	1920/1920	100.0	1..1920	contig00001 len=1047066 cov=31.8 corr=0 origname=NODE_1_length_1047066_cov_31.768397_pilon sw=shovill-spades/1.0.4 date=20260119	126527..128446	Doxycycline, Tetracycline, Minocycline	FR671418
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=270306 cov=31.3 corr=0 origname=NODE_1_length_270306_cov_31.258638_pilon sw=shovill-spades/1.0.4 date=20260119	97080..97817	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00001 len=270306 cov=31.3 corr=0 origname=NODE_1_length_270306_cov_31.258638_pilon sw=shovill-spades/1.0.4 date=20260119	94054..95973	Doxycycline, Tetracycline, Minocycline	X92947
110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00004 len=154307 cov=27.2 corr=0 origname=NODE_4_length_154307_cov_27.221183_pilon sw=shovill-spades/1.0.4 date=20260119	24135..25598	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00004 len=154307 cov=27.2 corr=0 origname=NODE_4_length_154307_cov_27.221183_pilon sw=shovill-spades/1.0.4 date=20260119	22798..24015	Erythromycin, Azithromycin	U83667
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00004 len=149246 cov=37.0 corr=0 origname=NODE_4_length_149246_cov_36.965801_pilon sw=shovill-spades/1.0.4 date=20260119	36079..36816	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	tet(M)	99.84	1920/1920	100.0	1..1920	contig00004 len=149246 cov=37.0 corr=0 origname=NODE_4_length_149246_cov_36.965801_pilon sw=shovill-spades/1.0.4 date=20260119	33053..34972	Doxycycline, Tetracycline, Minocycline	FR671418
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	lsa(C)	99.73	1479/1479	100.0	1..1479	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	247190..248668	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	278324..279787	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	279808..281025	Erythromycin, Azithromycin	U83667
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	230309..231046	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	230309..231046	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	tet(M)	99.53	1920/1920	100.0	1..1920	contig00001 len=325538 cov=33.4 corr=0 origname=NODE_1_length_325538_cov_33.353081_pilon sw=shovill-spades/1.0.4 date=20260119	232153..234072	Doxycycline, Tetracycline, Minocycline	FR671418
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00004 len=175180 cov=31.7 corr=0 origname=NODE_4_length_175180_cov_31.677969_pilon sw=shovill-spades/1.0.4 date=20260119	75819..77282	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	99.91789819376025	1..1218	contig00004 len=175180 cov=31.7 corr=0 origname=NODE_4_length_175180_cov_31.677969_pilon sw=shovill-spades/1.0.4 date=20260119	74483..75699	Erythromycin, Azithromycin	U83667
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	tetA(46)	94.43	1725/1725	100.0	1..1725	contig00001 len=335635 cov=39.4 corr=0 origname=NODE_1_length_335635_cov_39.409130_pilon sw=shovill-spades/1.0.4 date=20260119	300767..302491	Doxycycline, Tetracycline, Tigecycline	HQ652506
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	tetB(46)	92.81	1711/1737	98.38802533103052	1..1710	contig00001 len=335635 cov=39.4 corr=0 origname=NODE_1_length_335635_cov_39.409130_pilon sw=shovill-spades/1.0.4 date=20260119	302493..304202	Doxycycline, Tetracycline, Tigecycline	HQ652506
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00003 len=211675 cov=26.2 corr=0 origname=NODE_3_length_211675_cov_26.182387_pilon sw=shovill-spades/1.0.4 date=20260119	136200..136937	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00003 len=211675 cov=26.2 corr=0 origname=NODE_3_length_211675_cov_26.182387_pilon sw=shovill-spades/1.0.4 date=20260119	138044..139963	Doxycycline, Tetracycline, Minocycline	X75073
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=267382 cov=29.3 corr=0 origname=NODE_3_length_267382_cov_29.270074_pilon sw=shovill-spades/1.0.4 date=20260119	262308..263771	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	mef(A)	99.84	1218/1218	100.0	1..1218	contig00003 len=267382 cov=29.3 corr=0 origname=NODE_3_length_267382_cov_29.270074_pilon sw=shovill-spades/1.0.4 date=20260119	263891..265108	Erythromycin, Azithromycin	U83667
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetA(46)	94.20	1725/1725	100.0	1..1725	contig00002 len=528432 cov=30.2 corr=0 origname=NODE_2_length_528432_cov_30.211264_pilon sw=shovill-spades/1.0.4 date=20260119	105943..107667	Doxycycline, Tetracycline, Tigecycline	HQ652506
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	tetB(46)	92.57	1722/1737	99.02130109383995	1..1721	contig00002 len=528432 cov=30.2 corr=0 origname=NODE_2_length_528432_cov_30.211264_pilon sw=shovill-spades/1.0.4 date=20260119	104221..105941	Doxycycline, Tetracycline, Tigecycline	HQ652506
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00003 len=220222 cov=37.3 corr=0 origname=NODE_3_length_220222_cov_37.346762_pilon sw=shovill-spades/1.0.4 date=20260119	146055..146792	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00003 len=220222 cov=37.3 corr=0 origname=NODE_3_length_220222_cov_37.346762_pilon sw=shovill-spades/1.0.4 date=20260119	146055..146792	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tet(M)	100.00	1920/1920	100.0	1..1920	contig00003 len=220222 cov=37.3 corr=0 origname=NODE_3_length_220222_cov_37.346762_pilon sw=shovill-spades/1.0.4 date=20260119	147899..149818	Doxycycline, Tetracycline, Minocycline	X04388
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetA(46)	94.55	1725/1725	100.0	1..1725	contig00015 len=54190 cov=38.7 corr=0 origname=NODE_15_length_54190_cov_38.680068_pilon sw=shovill-spades/1.0.4 date=20260119	29037..30761	Doxycycline, Tetracycline, Tigecycline	HQ652506
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	tetB(46)	92.05	1723/1737	98.96373056994818	1..1721	contig00015 len=54190 cov=38.7 corr=0 origname=NODE_15_length_54190_cov_38.680068_pilon sw=shovill-spades/1.0.4 date=20260119	30763..32483	Doxycycline, Tetracycline, Tigecycline	HQ652506
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=267382 cov=30.9 corr=0 origname=NODE_3_length_267382_cov_30.911729_pilon sw=shovill-spades/1.0.4 date=20260119	262308..263771	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	mef(A)	99.84	1218/1218	100.0	1..1218	contig00003 len=267382 cov=30.9 corr=0 origname=NODE_3_length_267382_cov_30.911729_pilon sw=shovill-spades/1.0.4 date=20260119	263891..265108	Erythromycin, Azithromycin	U83667
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetA(46)	94.20	1725/1725	100.0	1..1725	contig00001 len=571513 cov=31.7 corr=0 origname=NODE_1_length_571513_cov_31.658790_pilon sw=shovill-spades/1.0.4 date=20260119	426790..428514	Doxycycline, Tetracycline, Tigecycline	HQ652506
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	tetB(46)	92.57	1722/1737	99.02130109383995	1..1721	contig00001 len=571513 cov=31.7 corr=0 origname=NODE_1_length_571513_cov_31.658790_pilon sw=shovill-spades/1.0.4 date=20260119	428516..430236	Doxycycline, Tetracycline, Tigecycline	HQ652506
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=308108 cov=27.1 corr=0 origname=NODE_3_length_308108_cov_27.098047_pilon sw=shovill-spades/1.0.4 date=20260119	88369..89832	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=308108 cov=27.1 corr=0 origname=NODE_3_length_308108_cov_27.098047_pilon sw=shovill-spades/1.0.4 date=20260119	89952..91169	Erythromycin, Azithromycin	U83667
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	lsa(C)	99.86	1479/1479	100.0	1..1479	contig00006 len=131633 cov=29.4 corr=0 origname=NODE_6_length_131633_cov_29.369611_pilon sw=shovill-spades/1.0.4 date=20260119	50140..51618	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	tet(M)	100.00	1920/1920	100.0	1..1920	contig00006 len=131633 cov=29.4 corr=0 origname=NODE_6_length_131633_cov_29.369611_pilon sw=shovill-spades/1.0.4 date=20260119	76369..78288	Doxycycline, Tetracycline, Minocycline	AM990992
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00021 len=30492 cov=13.0 corr=0 origname=NODE_21_length_30492_cov_13.048058_pilon sw=shovill-spades/1.0.4 date=20260119	8921..10384	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00021 len=30492 cov=13.0 corr=0 origname=NODE_21_length_30492_cov_13.048058_pilon sw=shovill-spades/1.0.4 date=20260119	7584..8801	Erythromycin, Azithromycin	U83667
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00015 len=54763 cov=26.6 corr=0 origname=NODE_15_length_54763_cov_26.570804_pilon sw=shovill-spades/1.0.4 date=20260119	39672..41591	Doxycycline, Tetracycline, Minocycline	FR671418
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=91946 cov=32.9 corr=0 origname=NODE_3_length_91946_cov_32.869196_pilon sw=shovill-spades/1.0.4 date=20260119	18087..19550	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=91946 cov=32.9 corr=0 origname=NODE_3_length_91946_cov_32.869196_pilon sw=shovill-spades/1.0.4 date=20260119	19670..20887	Erythromycin, Azithromycin	U83667
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00009 len=78542 cov=34.7 corr=0 origname=NODE_9_length_78542_cov_34.723471_pilon sw=shovill-spades/1.0.4 date=20260119	36225..38144	Doxycycline, Tetracycline, Minocycline	X75073
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tetA(46)	94.61	1725/1725	100.0	1..1725	contig00031 len=23277 cov=37.4 corr=0 origname=NODE_31_length_23277_cov_37.428664_pilon sw=shovill-spades/1.0.4 date=20260119	7554..9278	Doxycycline, Tetracycline, Tigecycline	HQ652506
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	tetB(46)	92.52	1712/1737	98.33045480713875	1..1710	contig00031 len=23277 cov=37.4 corr=0 origname=NODE_31_length_23277_cov_37.428664_pilon sw=shovill-spades/1.0.4 date=20260119	9280..10989	Doxycycline, Tetracycline, Tigecycline	HQ652506
118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00007 len=134410 cov=30.9 corr=0 origname=NODE_7_length_134410_cov_30.866924_pilon sw=shovill-spades/1.0.4 date=20260119	93099..93836	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00007 len=134410 cov=30.9 corr=0 origname=NODE_7_length_134410_cov_30.866924_pilon sw=shovill-spades/1.0.4 date=20260119	94943..96862	Doxycycline, Tetracycline, Minocycline	X92947
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00008 len=98635 cov=23.0 corr=0 origname=NODE_8_length_98635_cov_22.995859_pilon sw=shovill-spades/1.0.4 date=20260119	21240..22703	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00008 len=98635 cov=23.0 corr=0 origname=NODE_8_length_98635_cov_22.995859_pilon sw=shovill-spades/1.0.4 date=20260119	19903..21120	Erythromycin, Azithromycin	U83667
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00011 len=78398 cov=28.8 corr=0 origname=NODE_11_length_78398_cov_28.843873_pilon sw=shovill-spades/1.0.4 date=20260119	69480..70217	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	tet(M)	99.48	1920/1920	100.0	1..1920	contig00011 len=78398 cov=28.8 corr=0 origname=NODE_11_length_78398_cov_28.843873_pilon sw=shovill-spades/1.0.4 date=20260119	66454..68373	Doxycycline, Tetracycline, Minocycline	X92947
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=91946 cov=34.7 corr=0 origname=NODE_3_length_91946_cov_34.730956_pilon sw=shovill-spades/1.0.4 date=20260119	72397..73860	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=91946 cov=34.7 corr=0 origname=NODE_3_length_91946_cov_34.730956_pilon sw=shovill-spades/1.0.4 date=20260119	71060..72277	Erythromycin, Azithromycin	U83667
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00009 len=78542 cov=37.2 corr=0 origname=NODE_9_length_78542_cov_37.226039_pilon sw=shovill-spades/1.0.4 date=20260119	36225..38144	Doxycycline, Tetracycline, Minocycline	X75073
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tetA(46)	94.61	1725/1725	100.0	1..1725	contig00031 len=23277 cov=38.3 corr=0 origname=NODE_31_length_23277_cov_38.330717_pilon sw=shovill-spades/1.0.4 date=20260119	7554..9278	Doxycycline, Tetracycline, Tigecycline	HQ652506
118Pp-CMPN001x46_260114_LH00793_B23GCKKLT3	tetB(46)	92.52	1712/1737	98.33045480713875	1..1710	contig00031 len=23277 cov=38.3 corr=0 origname=NODE_31_length_23277_cov_38.330717_pilon sw=shovill-spades/1.0.4 date=20260119	9280..10989	Doxycycline, Tetracycline, Tigecycline	HQ652506
120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=1500332 cov=29.0 corr=0 origname=NODE_1_length_1500332_cov_29.049138_pilon sw=shovill-spades/1.0.4 date=20260119	718489..719226	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
120Cs-CMPN001x32_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00001 len=1500332 cov=29.0 corr=0 origname=NODE_1_length_1500332_cov_29.049138_pilon sw=shovill-spades/1.0.4 date=20260119	715461..717380	Doxycycline, Tetracycline, Minocycline	FR671418
122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00004 len=249717 cov=32.0 corr=0 origname=NODE_4_length_249717_cov_32.013529_pilon sw=shovill-spades/1.0.4 date=20260119	137944..138681	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
122Csv-CMPN001x33_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00004 len=249717 cov=32.0 corr=0 origname=NODE_4_length_249717_cov_32.013529_pilon sw=shovill-spades/1.0.4 date=20260119	139788..141707	Doxycycline, Tetracycline, Minocycline	X92947
123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	erm(B)	99.73	738/738	100.0	1..738	contig00003 len=463582 cov=27.7 corr=1 origname=NODE_3_length_463582_cov_27.728124_pilon sw=shovill-spades/1.0.4 date=20260119	111973..112710	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
