Sample	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	NA	contig00001	719283	720497	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	NA	contig00004	74846	76306	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	487	487	100.00	99.79	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	NA	contig00004	76429	77643	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	NA	contig00005	133514	134248	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	NA	contig00005	135358	137274	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	NA	contig00005	150526	152001	+	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	492	492	100.00	93.29	492	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	NA	contig00002	43912	45126	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	NA	contig00002	45249	46709	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	NA	contig00003	13129	15045	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	NA	contig00004	209340	210590	-	lsa	Lsa family ABC-F type ribosomal protection protein	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	PARTIAL_CONTIG_ENDX	417	492	84.76	91.85	417	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	NA	contig00015	31424	32674	-	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	PARTIAL_CONTIG_ENDX	417	492	84.76	99.28	417	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	245766	247487	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	95.47	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	247492	249225	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	578	578	100.00	94.81	578	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	310533	312449	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	313559	314293	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	516843	518057	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
098Cp-CMPN001x18_260114_LH00793_B23GCKKLT3	NA	contig00001	518180	519640	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
100Cs-CMPN001x20_260114_LH00793_B23GCKKLT3	NA	contig00001	591865	592599	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
100Cs-CMPN001x20_260114_LH00793_B23GCKKLT3	NA	contig00001	602517	604433	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
103Cs-CMPN001x21_260114_LH00793_B23GCKKLT3	NA	contig00009	39409	40884	-	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	492	492	100.00	99.39	492	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	NA	contig00001	40376	42097	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.56	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	NA	contig00001	42102	43832	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.53	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	NA	contig00005	76630	78090	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	NA	contig00005	78213	79427	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
104Ap-CMPN001x55_260114_LH00793_B23GCKKLT3	NA	contig00006	81819	83735	+	tet(O)	tetracycline resistance ribosomal protection protein Tet(O)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.84	639	WP_012669445.1	tetracycline resistance ribosomal protection protein Tet(O)	NA	NA
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	NA	contig00006	10562	12478	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_004632336.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
104Csv-CMPN001x22_260114_LH00793_B23GCKKLT3	NA	contig00006	13588	14322	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	NA	contig00003	135922	137838	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691729.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
105Cc-CMPN001x23_260114_LH00793_B23GCKKLT3	NA	contig00003	147759	148493	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	NA	contig00001	115872	116606	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
108Cap-CMPN001x24_260114_LH00793_B23GCKKLT3	NA	contig00001	126527	128443	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.69	639	WP_000691741.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	NA	contig00001	94054	95970	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
108Cv-CMPN001x25_260114_LH00793_B23GCKKLT3	NA	contig00001	97080	97814	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	NA	contig00004	22798	24012	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
110Am-CMPN001x56_260114_LH00793_B23GCKKLT3	NA	contig00004	24135	25595	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	NA	contig00004	33053	34969	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691741.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
110Ca-CMPN001x26_260114_LH00793_B23GCKKLT3	NA	contig00004	36079	36813	+	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	NA	contig00001	230312	231046	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	NA	contig00001	232156	234072	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	639	639	100.00	99.53	639	WP_000691743.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	NA	contig00001	247190	248665	+	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	492	492	100.00	99.19	492	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	NA	contig00001	278327	279787	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
110Cm-CMPN001x27_260114_LH00793_B23GCKKLT3	NA	contig00001	279811	281025	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	NA	contig00001	300767	302488	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.39	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	NA	contig00001	302493	304223	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.88	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	NA	contig00004	74483	75499	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	PARTIALX	339	405	83.70	95.87	339	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
111Ap-CMPN001x58_260114_LH00793_B23GCKKLT3	NA	contig00004	75819	77279	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	487	487	100.00	99.79	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	NA	contig00003	136203	136937	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
112Csv-CMPN001x28_260114_LH00793_B23GCKKLT3	NA	contig00003	138047	139963	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	NA	contig00002	104211	105941	-	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.84	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	NA	contig00002	105946	107667	-	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.21	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	NA	contig00003	262311	263771	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
113Ap-CMPN001x59_260114_LH00793_B23GCKKLT3	NA	contig00003	263894	265108	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	NA	contig00003	146058	146792	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	245	245	100.00	99.59	245	WP_001038795.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	NA	contig00003	147902	149818	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_004632336.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	NA	contig00015	29037	30758	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.74	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
113Cp-CMPN001x29_260114_LH00793_B23GCKKLT3	NA	contig00015	30763	32493	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.49	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	NA	contig00001	426790	428511	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.21	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	NA	contig00001	428516	430246	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	95.84	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	NA	contig00003	262311	263771	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
113Pp-CMPN001x44_260114_LH00793_B23GCKKLT3	NA	contig00003	263894	265108	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	NA	contig00003	88372	89832	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	NA	contig00003	89955	91169	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	NA	contig00006	50140	51615	+	lsa(C)	ABC-F type ribosomal protection protein Lsa(C)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	492	492	100.00	99.59	492	WP_063851347.1	ABC-F type ribosomal protection protein Lsa(C)	NA	NA
114Cim-CMPN001x30_260114_LH00793_B23GCKKLT3	NA	contig00006	76369	78285	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	NA	contig00015	39672	41588	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691741.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	NA	contig00021	7584	8798	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
116mi-CMPN001x92_260114_LH00793_B23GCKKLT3	NA	contig00021	8921	10381	+	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	NA	contig00003	18090	19550	-	msr(D)	ABC-F type ribosomal protection protein Msr(D)	core	AMR	AMR	MACROLIDE/STREPTOGRAMIN	AZITHROMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	487	487	100.00	100.00	487	WP_000420313.1	ABC-F type ribosomal protection protein Msr(D)	NA	NA
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	NA	contig00003	19673	20887	-	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	EXACTX	405	405	100.00	100.00	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	NA	contig00009	36228	38144	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691727.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	NA	contig00031	7554	9275	+	tetA(46)	tetracycline efflux ABC transporter Tet(46) subunit A	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	574	574	100.00	97.91	574	WP_063856469.1	tetracycline efflux ABC transporter Tet(46) subunit A	NA	NA
118Ap-CMPN001x60_260114_LH00793_B23GCKKLT3	NA	contig00031	9280	11010	+	tetB(46)	tetracycline efflux ABC transporter Tet(46) subunit B	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	BLASTX	577	578	99.83	96.71	577	WP_048717443.1	tetracycline efflux ABC transporter Tet(46) subunit B	NA	NA
118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	NA	contig00007	93102	93836	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_001038790.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
118Cim-CMPN001x31_260114_LH00793_B23GCKKLT3	NA	contig00007	94946	96862	-	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_000691736.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
118Pim-CMPN001x45_260114_LH00793_B23GCKKLT3	NA	contig00008	19903	21117	+	mef(A)	macrolide efflux MFS transporter Mef(A)	core	AMR	AMR	MACROLIDE	AZITHROMYCIN/ERYTHROMYCIN	BLASTX	405	405	100.00	99.75	405	WP_000417519.1	macrolide efflux MFS transporter Mef(A)	NA	NA
